uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,trappingDays,sampleCollected,sampleID,sampleCode,sampleCondition,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,samplingImpractical,recordedBy,remarks,publicationDate,release
45ac936a-dd50-4627-adaf-3c75097c3f1b,BLAN_007.basePlot.bet,D02,BLAN,BLAN_007,E,distributed,deciduousForest,39.085485,-77.969265,WGS84,20.3,156.3,0.4,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
fc5892f8-4c88-4f21-bc3f-8448434d2b5a,BLAN_003.basePlot.bet,D02,BLAN,BLAN_003,E,distributed,pastureHay,39.078872,-77.963659,WGS84,20.1,121.8,0.1,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
5784f3e2-d946-42bd-b75d-62ced20cf623,BLAN_012.basePlot.bet,D02,BLAN,BLAN_012,W,distributed,deciduousForest,39.082046,-77.961088,WGS84,20.2,138.9,0.3,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
e84ad264-d617-4064-91fa-56d417d07c08,BLAN_003.basePlot.bet,D02,BLAN,BLAN_003,S,distributed,pastureHay,39.078872,-77.963659,WGS84,20.1,121.8,0.1,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
6a0d4369-4e83-45c1-b160-df13e9e02dbb,BLAN_006.basePlot.bet,D02,BLAN,BLAN_006,S,distributed,pastureHay,39.083999,-77.963812,WGS84,20.1,154.4,0.1,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
89d030bf-61b5-465d-8928-cb81ac5ee7bf,BLAN_005.basePlot.bet,D02,BLAN,BLAN_005,E,distributed,deciduousForest,39.087456,-77.971942,WGS84,20.1,137.4,0.2,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
2a18391a-13ed-426e-9103-469a3d32cc96,BLAN_009.basePlot.bet,D02,BLAN,BLAN_009,E,distributed,deciduousForest,39.086824,-77.95775,WGS84,20.2,130.9,0.3,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
162346d6-77ac-44fa-a844-081d32a5dc30,BLAN_001.basePlot.bet,D02,BLAN,BLAN_001,W,distributed,deciduousForest,39.087919,-77.958389,WGS84,20.2,128.3,0.3,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
5271ed53-034c-42b2-88db-41766acf7a65,BLAN_004.basePlot.bet,D02,BLAN,BLAN_004,E,distributed,pastureHay,39.087516,-77.962567,WGS84,20.1,128.4,0.1,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
afe2d6df-cf0d-4edd-a27b-458cb4478814,BLAN_007.basePlot.bet,D02,BLAN,BLAN_007,S,distributed,deciduousForest,39.085485,-77.969265,WGS84,20.3,156.3,0.4,2020-05-19T00:00:00Z,2020-06-02T00:00:00Z,BLAN.2020.21,14,N,NA,NA,NA,NA,NA,NA,NEON.DOC.014050vM,logistical,0000-0002-0927-4409,COVID19,20240112T182046Z,RELEASE-2024
