uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,sampleCode,subsampleID,subsampleCode,sampleCondition,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,nativeStatusCode,identifiedBy,recordedBy,remarks,identificationHistoryID,publicationDate,release
ac2fa16c-c287-461f-8c05-2c829a85461b,JERC_001.basePlot.bet,D03,JERC,JERC_001,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-01T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_001.E.20210622,A00000130118,ArvEgVyhbJcj8WpTflDve0D5dbZCvAhjMdj+vVUyb0o=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
eb8c3bbe-0222-48db-9b23-56292437710a,JERC_010.basePlot.bet,D03,JERC,JERC_010,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-25T00:00:00Z,JERC_010.W.20210622,A00000130143,qRTVq00V1Ul85PDeVi5q3QU7vgxwMA/i+yMe6oJqGoM=,A00000140922,NA,carabid,PASSUB2,Pasimachus subsulcatus,species,NA,Say,NA,1,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
50518f7c-f661-428a-a46c-e32f313c713b,JERC_008.basePlot.bet,D03,JERC,JERC_008,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-25T00:00:00Z,JERC_008.E.20210622,A00000130130,S3j2Rzo+HUmEir1C+EbT8Z8/hz+cNC9Nj+PCmhaZc70=,NA,NA,carabid,HARPEN,Harpalus pensylvanicus,species,cf. species,DeGeer,NA,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
4e6a7884-b8de-48c3-ba84-c08787da6455,JERC_003.basePlot.bet,D03,JERC,JERC_003,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-26T00:00:00Z,JERC_003.E.20210622,A00000130124,9IO0159G1yhGatIbrlrz9Ak68fcmmRB8yfqfpCowGe0=,NA,NA,carabid,SEMPUN,Semiardistomis puncticollis,species,NA,Dejean,NA,2,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
6d1f331a-a484-4981-9cba-1af815261f7d,JERC_008.basePlot.bet,D03,JERC,JERC_008,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-25T00:00:00Z,JERC_008.E.20210622,A00000130130,S3j2Rzo+HUmEir1C+EbT8QqaJniOioDpFDOt/c1EENw=,NA,NA,carabid,SELELL,Selenophorus ellipticus,species,NA,Dejean,NA,1,"Messer, P. W., and B. T. Raber. 2021. A review of Nearctic Selenophorus Dejean (Coleoptera: Carabidae: Harpalini) north of Mexico with new species, range extensions, and a key. The Coleopterists Bulletin 75(1):9-55.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
ed7e38c0-4fb4-428a-a381-8a048da89d98,JERC_003.basePlot.bet,D03,JERC,JERC_003,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-25T00:00:00Z,JERC_003.S.20210622,A00000130123,9IO0159G1yhhFtQZGDU3DdD/AEl9CQo9/KB6mmw+V5A=,NA,NA,carabid,CYCLAE,Cyclotrachelus laevipennis,species,NA,LeConte,NA,3,"Freitag, R. 1969. A revision of the species of the genus Evarthrus LeConte. Quaestiones Entomologicae 5:89-212.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
38bf1551-00c4-4428-b9f4-c90f3b2d88e5,JERC_008.basePlot.bet,D03,JERC,JERC_008,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-26T00:00:00Z,JERC_008.W.20210622,A00000130137,S3j2Rzo+HUl6/o27AuP2HtrVEuR30KAksTfOphW3/4I=,NA,NA,carabid,TETCAR1,Tetracha carolina carolina,subspecies,NA,Linnaeus,NA,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
2b4b5735-868d-4400-9ef8-af803cc277fb,JERC_003.basePlot.bet,D03,JERC,JERC_003,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-25T00:00:00Z,JERC_003.W.20210622,A00000130125,9IO0159G1yinY4Ox7PusbkhEy9/U+BO4kM53QakWWhM=,A00000140933,NA,carabid,PASSUB2,Pasimachus subsulcatus,species,NA,Say,NA,1,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
74185f4f-fa21-4e83-a376-069792d83b34,JERC_006.basePlot.bet,D03,JERC,JERC_006,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-01-31T00:00:00Z,JERC_006.S.20210622,A00000130131,zWSiOx/FgAUKBBI5jUr/K7t2ELa+raW/ekymTtCKb1w=,NA,NA,carabid,TETINT,Tetragonoderus intersectus,species,NA,Germar,NA,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
3146f38a-2438-4bd9-8f17-7a6a4516a84c,JERC_001.basePlot.bet,D03,JERC,JERC_001,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-02-01T00:00:00Z,JERC_001.E.20210622,A00000130118,ArvEgVyhbJcj8WpTflDvezQVXromgG+frPbw0GfXW9E=,NA,NA,carabid,ANIMER2,Anisodactylus merula,species,NA,Germar,NA,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
0edb0cdf-d1ca-4ef4-9cc6-dcb30322f041,JERC_001.basePlot.bet,D03,JERC,JERC_001,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2022-02-21T00:00:00Z,2021-06-23T00:00:00Z,2022-02-01T00:00:00Z,JERC_001.E.20210622,A00000130118,ArvEgVyhbJcj8WpTflDve0HaFabowc3QLOQa7zF4jNM=,NA,NA,carabid,ANIRUS,Anisodactylus rusticus,species,NA,Say,NA,1,"Ciegler, J. C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson, S. Clemson University.",N,0000-0001-9861-5609,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
ffb42f7e-1f79-4f9e-b5e4-1f19752a67ed,JERC_002.basePlot.bet,D03,JERC,JERC_002,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-12-06T00:00:00Z,2021-06-23T00:00:00Z,2021-12-06T00:00:00Z,JERC_002.E.20210622,A00000130121,CV0ws5GtbhmuM2I7gGj67/+er0u97EDSH/thHMVkXSo=,A00000131282,NA,vert bycatch herp,SCAHOL,Scaphiopus holbrookii,species,NA,Harlan,NA,1,"Conant, R., and J. T. Collins. 1998. A Field Guide to Reptiles and Amphibians: Eastern and Central North America. 3rd Ed. Houghton Mifflin Company, New York, NY.",N,0000-0002-3174-4606,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
f6fe1a19-8db8-48b6-a77e-4621bd08441f,JERC_009.basePlot.bet,D03,JERC,JERC_009,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_009.E.20210622,A00000130139,21ilO4RJ2p9kLQGGO+gwKmVFuk0EfoHecc6Sj0mXgTM=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
e5e485ff-a650-483b-bc44-cd328b8eaad7,JERC_008.basePlot.bet,D03,JERC,JERC_008,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-06T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_008.S.20210622,A00000130129,S3j2Rzo+HUkwoHXMf9ZTfvojx57dBvvK5tju2T/x/L4=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7872-0038,NA,NA,20240112T182015Z,RELEASE-2024
